RowID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
256,Andhra Pradesh,PRAKASAM,2017,Rabi,Moong(Green Gram),746,454
257,Nagaland,DIMAPUR,2009,Rabi,Rapeseed &Mustard,3270,3290
258,West Bengal,HOOGHLY,2021,Rabi,Moong(Green Gram),43,32
259,Uttar Pradesh,AMBEDKAR NAGAR,2017,Rabi,Gram,1470,1480
260,Uttar Pradesh,FAIZABAD,2021,Summer,Urad,1842,672
261,Andhra Pradesh,PRAKASAM,2020,Rabi,Coriander,56,52
262,Madhya Pradesh,NARSINGHPUR,2014,Whole Year,Sweet potato,127,1127
263,Chhattisgarh,JASHPUR,2011,Rabi,Linseed,1242,369
264,Andhra Pradesh,VISAKHAPATANAM,2005,Rabi,Gram,200,100
265,Assam,MARIGAON,2009,Kharif,Jute,4000,41111
266,Assam,NAGAON,2005,Whole Year,Onion,1032,2168
267,West Bengal,24 PARAGANAS SOUTH,2006,Rabi,Peas & beans (Pulses),159,120
268,Uttarakhand,RUDRA PRAYAG,2021,Kharif,Other Kharif pulses,134,127
269,Manipur,BISHNUPUR,2012,Rabi,Rapeseed &Mustard,90,40
270,Uttar Pradesh,MUZAFFARNAGAR,2016,Summer,Maize,11,16
271,Odisha,SUNDARGARH,2012,Winter,Horse-gram,4505,1477.6
272,Rajasthan,NAGAUR,2017,Kharif,Other Kharif pulses,21792,1900
273,Gujarat,BHAVNAGAR,2016,Kharif,Urad,1800,1100
274,Uttarakhand,TEHRI GARHWAL,2013,Whole Year,Dry ginger,208,3744
275,Uttarakhand,BAGESHWAR,2009,Rabi,Masoor,968,523
276,West Bengal,JALPAIGURI,2022,Kharif,Mesta,149,2001
277,Maharashtra,KOLHAPUR,2012,Kharif,Maize,2500,5900
278,Punjab,FIROZEPUR,2011,Rabi,Barley,4000,13000
279,Uttar Pradesh,MUZAFFARNAGAR,2017,Rabi,Turmeric,6,20
280,Tamil Nadu,DHARMAPURI,2012,Kharif,Urad,1706,1180
281,Meghalaya,WEST KHASI HILLS,2011,Whole Year,Potato,5653,38829
282,Uttar Pradesh,KHERI,2006,Kharif,Soyabean,3,1
283,Karnataka,BAGALKOT,2019,Rabi,Dry chillies,605,587
284,Bihar,MADHUBANI,2014,Summer,Moong(Green Gram),9966,4525
285,Bihar,MADHEPURA,2019,Rabi,Masoor,578,465
286,Gujarat,AHMADABAD,2019,Rabi,Rapeseed &Mustard,1800,2800
287,Madhya Pradesh,SHAJAPUR,2008,Rabi,Rapeseed &Mustard,163,113
288,Karnataka,HAVERI,2009,Rabi,Gram,1330,781
289,Kerala,KOZHIKODE,2010,Whole Year,other oilseeds,16,0
290,Rajasthan,DHOLPUR,2012,Whole Year,Potato,1255,30070
291,Andhra Pradesh,VIZIANAGARAM,2012,Whole Year,Sugarcane,15635,969636
292,Uttarakhand,TEHRI GARHWAL,2012,Whole Year,Tobacco,3,10
293,Assam,DHEMAJI,2020,Rabi,Gram,9,6
294,Bihar,MADHEPURA,2015,Kharif,Sesamum,61,49
295,Assam,SONITPUR,2013,Whole Year,Turmeric,922,673
296,Uttar Pradesh,RAMPUR,2021,Kharif,Dry chillies,112,90
297,West Bengal,BANKURA,2011,Kharif,Groundnut,729,668
298,Karnataka,TUMKUR,2013,Kharif,Niger seed,1690,490
299,West Bengal,PURULIA,2018,Rabi,Urad,531,267
300,Bihar,ARARIA,2013,Kharif,Other Kharif pulses,9,5
301,Gujarat,BHAVNAGAR,2013,Kharif,Other Cereals & Millets,4000,1000
302,Karnataka,KOPPAL,2017,Whole Year,Cotton(lint),17514,7430
303,Assam,KARBI ANGLONG,2012,Whole Year,Dry chillies,336,278
304,Bihar,PURNIA,2021,Summer,Rice,10247,21956
305,Chhattisgarh,KABIRDHAM,2012,Whole Year,Onion,179,680
306,Meghalaya,WEST GARO HILLS,2016,Kharif,Sesamum,1116,600
307,Madhya Pradesh,SHIVPURI,2011,Kharif,Arhar/Tur,540,330
308,Uttar Pradesh,SULTANPUR,2020,Kharif,Bajra,141,119
309,Arunachal Pradesh,CHANGLANG,2017,Whole Year,Sugarcane,545,7090
310,Maharashtra,GADCHIROLI,2022,Rabi,Wheat,1200,1200
311,Odisha,BALESHWAR,2014,Summer,Wheat,267,298.5
312,Bihar,KHAGARIA,2014,Kharif,Bajra,4,4
313,Chhattisgarh,BASTAR,2017,Rabi,Moong(Green Gram),15,4
314,Rajasthan,JODHPUR,2011,Kharif,Castor seed,4835,3799
315,Himachal Pradesh,SHIMLA,2013,Rabi,Coriander,35,7
316,Tamil Nadu,MADURAI,2021,Rabi,Groundnut,1051,2316
317,Chhattisgarh,DURG,2017,Rabi,Gram,101459,98361
318,Odisha,BALESHWAR,2010,Rabi,Other  Rabi pulses,640,600
319,Tamil Nadu,NAGAPATTINAM,2014,Whole Year,Banana,613,32847
320,Gujarat,SURAT,2018,Kharif,Sesamum,1300,600
321,Madhya Pradesh,ANUPPUR,2014,Kharif,Groundnut,532,359
322,Madhya Pradesh,GUNA,2020,Rabi,Gram,78328,128818
323,Tamil Nadu,MADURAI,2016,Whole Year,Sugarcane,4966,592186
324,Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2021,Rabi,Rice,325,631
325,Andhra Pradesh,GUNTUR,2016,Kharif,Arhar/Tur,18935,21832
326,Uttar Pradesh,KUSHI NAGAR,2013,Rabi,Turmeric,379,1689
327,Bihar,GOPALGANJ,2021,Rabi,Masoor,141,179
328,Puducherry,PONDICHERRY,2013,Kharif,Sesamum,94,75
329,Maharashtra,JALGAON,2013,Kharif,Sunflower,500,300
330,Madhya Pradesh,RATLAM,2010,Whole Year,Grapes,83,0
331,Maharashtra,JALGAON,2005,Kharif,Pulses total,1207,635
332,Himachal Pradesh,MANDI,2009,Kharif,Rice,19762,33767
333,Rajasthan,HANUMANGARH,2011,Kharif,Other Kharif pulses,2,1
334,Madhya Pradesh,SHIVPURI,2006,Kharif,Sesamum,5400,2100
335,Haryana,MAHENDRAGARH,2015,Kharif,Groundnut,231,200
336,Haryana,PANIPAT,2010,Rabi,Rapeseed &Mustard,861,1000
337,West Bengal,HOWRAH,2014,Kharif,Jute,3845,70248
338,Chhattisgarh,MAHASAMUND,2018,Whole Year,Sannhamp,139,48
339,Uttar Pradesh,SITAPUR,2018,Kharif,Sugarcane,120267,6065305
340,Andhra Pradesh,SPSR NELLORE,2018,Kharif,Ragi,23,23
341,Tamil Nadu,THE NILGIRIS,2006,Kharif,Rice,2611,9192
342,Bihar,BHOJPUR,2013,Whole Year,Dry chillies,30,26
343,Chhattisgarh,KONDAGAON,2019,Rabi,Peas & beans (Pulses),295,79
344,Andhra Pradesh,CHITTOOR,2009,Whole Year,Turmeric,69,341
345,Bihar,PURNIA,2015,Summer,Rice,18529,33267
346,Telangana,MEDAK,2008,Rabi,Sesamum,175,34
347,Uttar Pradesh,SHAHJAHANPUR,2022,Rabi,Turmeric,22,62
348,Gujarat,SURAT,2019,Rabi,Other Cereals & Millets,200,200
349,Gujarat,BHARUCH,2011,Kharif,Sesamum,3500,900
350,Maharashtra,PUNE,2011,Kharif,Jowar,2900,4600
351,Maharashtra,BEED,2017,Rabi,Jowar,207000,172400
352,Karnataka,HAVERI,2007,Kharif,Dry ginger,84,1108
353,Maharashtra,CHANDRAPUR,2017,Kharif,Urad,200,100
354,Rajasthan,UDAIPUR,2018,Kharif,Sesamum,2612,591
355,Madhya Pradesh,REWA,2016,Kharif,Bajra,998,558
356,Assam,LAKHIMPUR,2013,Whole Year,Arecanut,2893,2880
357,Assam,KOKRAJHAR,2016,Rabi,Urad,3397,1617
358,Madhya Pradesh,VIDISHA,2007,Rabi,Safflower,2,0
359,Bihar,KATIHAR,2014,Rabi,Rapeseed &Mustard,4968,2673
360,Nagaland,MOKOKCHUNG,2011,Whole Year,Tea,150,310
361,Haryana,YAMUNANAGAR,2006,Rabi,Wheat,63403,252000
362,Uttar Pradesh,BALLIA,2020,Rabi,Maize,4525,14168
363,Uttar Pradesh,BALRAMPUR,2015,Rabi,Onion,42,587
364,Uttarakhand,CHAMPAWAT,2015,Rabi,Gram,12,5
365,Maharashtra,GADCHIROLI,2012,Kharif,Other Cereals & Millets,500,300
366,Uttar Pradesh,HATHRAS,2020,Summer,Sunflower,16,12
367,Andhra Pradesh,VISAKHAPATANAM,2011,Rabi,Onion,164,1805
368,Assam,KARIMGANJ,2019,Kharif,Jute,66,612
369,Chandigarh,CHANDIGARH,2015,Rabi,Wheat,600,2800
370,Maharashtra,PARBHANI,2009,Whole Year,Sugarcane,12100,1071300
371,Uttar Pradesh,PRATAPGARH,2013,Whole Year,Garlic,7,30
372,Manipur,BISHNUPUR,2011,Whole Year,Sugarcane,120,3920
373,Haryana,ROHTAK,2007,Whole Year,Onion,30,400
374,Maharashtra,NASHIK,2017,Kharif,Maize,140900,318400
375,Uttar Pradesh,FARRUKHABAD,2019,Summer,Onion,490,6942
376,Karnataka,UTTAR KANNAD,2021,Rabi,Ragi,1,1
377,Gujarat,ANAND,2018,Kharif,Bajra,28000,36000
378,Bihar,AURANGABAD,2014,Rabi,Barley,1562,1250
